Column weight,SVD1,SVD2,NMF
0.89,0.9236777246001302,0.9231273027696114,0.9252653120558535
0.9,0.9254477863416768,0.9249575629712669,0.9259719192055839
0.91,0.9269466255768805,0.9272655887438682,0.9292084186183144
0.92,0.9293341270332959,0.9296778016540888,0.930662392268062
0.93,0.9313444246271548,0.9315243160065891,0.9327804078991195
0.9400000000000001,0.933465271425264,0.9322956053663501,0.9354890479683493
0.9500000000000001,0.935921810219141,0.9343399244121123,0.9368896072441751
0.96,0.9379139219421446,0.9361961272715515,0.9390370997647585
0.97,0.9405629466099691,0.9383085546410077,0.9410971516677746
0.98,0.9420237152396764,0.9402365776968954,0.9441420889252056
0.99,0.9446721349022169,0.9423807395617309,0.945372453146255
1.0,0.9469645238451555,0.9444548066122036,0.9498068115593746
