r,rep,SVD1,SVD2,NMF
9,2,0.8794127830264946,0.8751272055734817,0.8885763157890517
10,2,0.8791635127994665,0.8747189690779287,0.884641814934005
11,2,0.87831663004638,0.8789086510320968,0.8875627407505258
12,2,0.8783183152759241,0.8786929309717281,0.8855320036042759
13,2,0.8782368528340284,0.8773897405551065,0.8842760098956426
14,2,0.8771044343082709,0.8766163553957734,0.8838380173900388
15,2,0.8768576207265151,0.8763268482350397,0.8823248748067504
16,2,0.8782508743039001,0.8740310282017986,0.8821753654492012
17,2,0.879029740990732,0.8754005272990047,0.8808341329870619
18,2,0.8792546010346749,0.8783495811427771,0.8810311914292707
19,2,0.8794032507482652,0.878257407411163,0.8811602797355262
20,2,0.8790416060210418,0.8788437247326936,0.8804929013417184
21,2,0.8796951953435422,0.8786699877973894,0.8802961687614147
22,2,0.8798949107422124,0.8795437987799092,0.8801262762957895
23,2,0.8804422224508911,0.8805733591523084,0.8805672873813433
24,2,0.881472314226038,0.8782602548994909,0.8806688897146782
25,2,0.8810709689950553,0.8815726718953599,0.8819334176259667
26,2,0.8808124051256561,0.8814170216570635,0.8786246123612522
27,2,0.8817087831457622,0.8817412208208584,0.8801227839117327
28,2,0.8809596483506797,0.8824217757993134,0.8794249992161174
29,2,0.881642684916924,0.8825704356654148,0.8815208448121974
30,2,0.8817388615492624,0.8825944788868146,0.880357176951916
31,2,0.8822294195729808,0.8821659099770669,0.8819446275598192
32,2,0.8818985223370561,0.8831791802223321,0.8810665101811994
33,2,0.8818931753924661,0.8824573414628532,0.8799557459952964
34,2,0.881672479299808,0.881656458661146,0.8798601301549958
35,2,0.8825554704347316,0.8825472658133878,0.8815681735523743
36,2,0.8822925829964416,0.8828770061629841,0.8808292861380119
37,2,0.8828652946675709,0.8835893519946649,0.880399355483256
38,2,0.8818810477894933,0.8843224141487865,0.8800898137989143
39,2,0.8822877327495401,0.8847776623945163,0.8793474721283911
40,2,0.8824469087731162,0.8837469652065525,0.8795451753329688
41,2,0.8828597767746142,0.883615205595544,0.8798770793128075
42,2,0.8831446105560108,0.8846638673848211,0.8801498452695673
43,2,0.8838619526537261,0.8833742951371254,0.8794023888934768
44,2,0.8819099779121403,0.8842790366674825,0.8809881554547137
45,2,0.8830617061682163,0.8851495502746811,0.8800859406127317
46,2,0.8828556029264242,0.8841798964757273,0.8821940884736518
47,2,0.8838486928374744,0.8850209608478136,0.8829644157559471
