col_weight,r,RMSE
0.38000000000000017,9,0.8694580400593322
0.38000000000000017,10,0.8706346834719049
0.38000000000000017,11,0.8725915173020335
0.38000000000000017,12,0.8741094877290353
0.38000000000000017,13,0.873872219794366
0.38000000000000017,14,0.873799587814711
0.38000000000000017,15,0.8733424710844996
0.38000000000000017,20,0.8768535078966981
0.38000000000000017,25,0.878344534060749
0.38000000000000017,30,0.877872305031258
0.3900000000000002,5,0.8735139205222425
0.3900000000000002,6,0.8723151779879238
0.3900000000000002,7,0.8705416477955211
0.3900000000000002,8,0.8696524732061091
0.3900000000000002,9,0.8695602011278967
0.3900000000000002,10,0.870627174253032
0.3900000000000002,11,0.8726993187397338
0.3900000000000002,12,0.8741556388635686
0.3900000000000002,13,0.8738051179967731
0.3900000000000002,14,0.8732900933609944
0.3900000000000002,15,0.8733911788672862
0.3900000000000002,20,0.8760498508192297
0.3900000000000002,25,0.8773207167203303
0.3900000000000002,30,0.8778583299596178
0.4000000000000002,5,0.8738897068751235
0.4000000000000002,6,0.8727889054993445
0.4000000000000002,7,0.8710361350899253
0.4000000000000002,8,0.8699866361004578
0.4000000000000002,9,0.8697859018648383
0.4000000000000002,10,0.8710828372942467
0.4000000000000002,11,0.8730266937021937
0.4000000000000002,12,0.8738600067348454
0.4000000000000002,13,0.8737675257967495
0.4000000000000002,14,0.8738898630616069
0.4000000000000002,15,0.8736986064373544
0.4000000000000002,20,0.8766556723188373
0.4000000000000002,25,0.878143181985164
0.4000000000000002,30,0.8784380989447732
0.4100000000000002,5,0.8743046408882367
0.4100000000000002,6,0.8732629848738646
0.4100000000000002,7,0.8714001418787942
0.4100000000000002,8,0.8703594188740708
0.4100000000000002,9,0.8700176397604824
0.4100000000000002,10,0.8720243405696744
0.4100000000000002,11,0.8734688871902063
0.4100000000000002,12,0.8737573069407001
0.4100000000000002,13,0.8738748687563691
0.4100000000000002,14,0.8735702208995024
0.4100000000000002,15,0.8751162658325349
0.4100000000000002,20,0.8766085585627651
0.4100000000000002,25,0.8775150555039801
0.4100000000000002,30,0.8782822625408829
0.4200000000000002,5,0.8747436878245456
0.4200000000000002,6,0.8737614708653009
0.4200000000000002,7,0.8718402458172216
0.4200000000000002,8,0.8707365276400867
0.4200000000000002,9,0.8702279745850109
0.4200000000000002,10,0.8720457640050022
0.4200000000000002,11,0.8733629600863213
0.4200000000000002,12,0.874511363516608
0.4200000000000002,13,0.8748794170313621
0.4200000000000002,14,0.8742566817687887
0.4200000000000002,15,0.8743041813776662
0.4200000000000002,20,0.8766864452636611
0.4200000000000002,25,0.8774701972191203
0.4200000000000002,30,0.8778996530589148
0.4300000000000002,5,0.8752086012751864
0.4300000000000002,6,0.8742821162608474
0.4300000000000002,7,0.8723851794391123
0.4300000000000002,8,0.871195022359022
0.4300000000000002,9,0.870582812990102
0.4300000000000002,10,0.8729057642250927
0.4300000000000002,11,0.8733311504622071
0.4300000000000002,12,0.874171148044449
0.4300000000000002,13,0.8743155425172219
0.4300000000000002,14,0.8747890534877429
0.4300000000000002,15,0.8741007349254437
0.4300000000000002,20,0.8766062208524704
0.4300000000000002,25,0.8777661417142131
0.4300000000000002,30,0.8784340353019977
0.4400000000000002,5,0.8757003065136075
0.4400000000000002,6,0.8748139777951577
0.4400000000000002,7,0.8729429159985609
0.4400000000000002,8,0.8716619845851507
0.4400000000000002,9,0.870706997746838
0.4400000000000002,10,0.8728174721122784
0.4400000000000002,11,0.8736876103205512
0.4400000000000002,12,0.8747341810851548
0.4400000000000002,13,0.8734571400331799
0.4400000000000002,14,0.8746017503305633
0.4400000000000002,15,0.8756479038057845
0.4400000000000002,20,0.8763092978620034
0.4400000000000002,25,0.8770947656165683
0.4400000000000002,30,0.8780802071985627
0.45000000000000023,5,0.8762205611461434
0.45000000000000023,6,0.8753690296932877
0.45000000000000023,7,0.8734300424862464
0.45000000000000023,8,0.8721532416820473
0.45000000000000023,9,0.8712733515116454
0.45000000000000023,10,0.8730028413054257
0.45000000000000023,11,0.8736915923657307
0.45000000000000023,12,0.8748057432081363
0.45000000000000023,13,0.8743241091762786
0.45000000000000023,14,0.8751825981024787
0.45000000000000023,15,0.8742973822899586
0.45000000000000023,20,0.876841880574228
0.45000000000000023,25,0.8787677955867117
0.45000000000000023,30,0.877503203335755
0.46000000000000024,5,0.876766685594343
0.46000000000000024,6,0.8759486018239149
0.46000000000000024,7,0.8740086859161648
0.46000000000000024,8,0.8726690272612859
0.46000000000000024,9,0.8717937443840257
0.46000000000000024,10,0.8741418052731136
0.46000000000000024,11,0.8747649766987278
0.46000000000000024,12,0.8751091052759444
0.46000000000000024,13,0.8738062254269052
0.46000000000000024,14,0.8749388837018145
0.46000000000000024,15,0.8747516810352349
0.46000000000000024,20,0.8764007706041724
0.46000000000000024,25,0.8783099326076846
0.46000000000000024,30,0.8775873112413511
0.47000000000000025,5,0.8773446154543478
0.47000000000000025,6,0.8765431091095217
0.47000000000000025,7,0.874622088431122
0.47000000000000025,8,0.8732209435970031
0.47000000000000025,9,0.8721918016491921
0.47000000000000025,10,0.8745801207978414
0.47000000000000025,11,0.875351020188181
0.47000000000000025,12,0.875144118412859
0.47000000000000025,13,0.8746237765166852
0.47000000000000025,14,0.8747366126926799
0.47000000000000025,15,0.8749362542012127
0.47000000000000025,20,0.8777550010218605
0.47000000000000025,25,0.877382629133519
