index,rep,lambda,eta,r,RMSE
241,1.0,0.0099,0.001,7.0,1.0413671732432723
242,2.0,0.011,0.001,7.0,1.0336734082483794
243,2.0,0.0099,0.001,7.0,1.046645105920913
244,3.0,0.011,0.001,7.0,1.0351271415006504
245,3.0,0.0099,0.001,7.0,1.026254897078394
246,4.0,0.011,0.001,7.0,1.0308379788888085
247,4.0,0.0099,0.001,7.0,1.0292070553057333
248,5.0,0.011,0.001,7.0,1.0339501241285376
249,5.0,0.0099,0.001,7.0,1.053352302770879
250,6.0,0.011,0.001,7.0,1.0328076983191805
251,6.0,0.0099,0.001,7.0,1.0382720753027375
252,7.0,0.011,0.001,7.0,1.0508956098517819
253,7.0,0.0099,0.001,7.0,1.0490485175787672
254,8.0,0.011,0.001,7.0,1.0430048282416071
255,8.0,0.0099,0.001,7.0,1.033229345476175
256,9.0,0.011,0.001,7.0,1.0428454621825876
257,9.0,0.0099,0.001,7.0,1.053462907911707
258,10.0,0.011,0.001,7.0,1.0404848418826391
259,10.0,0.0099,0.001,7.0,1.0414468420808827
260,11.0,0.011,0.001,7.0,1.0353959976741198
261,11.0,0.0099,0.001,7.0,1.0412478032946522
262,12.0,0.011,0.001,7.0,1.0244328204310131
263,12.0,0.0099,0.001,7.0,1.030198942258625
264,13.0,0.011,0.001,7.0,1.0542353770377928
265,13.0,0.0099,0.001,7.0,1.0273696167041815
266,14.0,0.011,0.001,7.0,1.0473397028596558
267,14.0,0.0099,0.001,7.0,1.0348780872252419
268,15.0,0.011,0.001,7.0,1.0448140845609701
269,15.0,0.0099,0.001,7.0,1.0345479540547808
270,16.0,0.011,0.001,7.0,1.0299390318986605
271,16.0,0.0099,0.001,7.0,1.0366908191979385
272,17.0,0.011,0.001,7.0,1.0381223131113155
273,17.0,0.0099,0.001,7.0,1.0231223014596582
274,18.0,0.011,0.001,7.0,1.029752923475945
275,18.0,0.0099,0.001,7.0,1.0326500668374834
276,19.0,0.011,0.001,7.0,1.0140079979653203
277,19.0,0.0099,0.001,7.0,1.04254567003155
278,20.0,0.011,0.001,7.0,1.0346276974827147
279,20.0,0.0099,0.001,7.0,1.0334978313643004
280,1.0,0.011,0.004,7.0,0.969638707449923
281,1.0,0.0099,0.004,7.0,0.9639470775116254
282,2.0,0.011,0.004,7.0,0.9991214239251277
283,2.0,0.0099,0.004,7.0,1.0447742393018118
284,3.0,0.011,0.004,7.0,1.0028927852978602
285,3.0,0.0099,0.004,7.0,1.023028978165171
286,4.0,0.011,0.004,7.0,1.0090342509666477
287,4.0,0.0099,0.004,7.0,0.9886887725125385
288,5.0,0.011,0.004,7.0,1.0123151960223333
289,5.0,0.0099,0.004,7.0,1.0228599722211151
290,6.0,0.011,0.004,7.0,1.009483493533089
291,6.0,0.0099,0.004,7.0,1.0494628815854554
292,7.0,0.011,0.004,7.0,0.9678461220154526
293,7.0,0.0099,0.004,7.0,1.0182256843682496
294,8.0,0.011,0.004,7.0,1.0366811716689732
295,8.0,0.0099,0.004,7.0,0.9937987563872921
296,9.0,0.011,0.004,7.0,0.9716906016868018
297,9.0,0.0099,0.004,7.0,1.0204348121018345
298,10.0,0.011,0.004,7.0,1.0231110096625278
299,10.0,0.0099,0.004,7.0,1.0220122444291926
300,11.0,0.011,0.004,7.0,1.0575522354150357
301,11.0,0.0099,0.004,7.0,0.98466318526377
302,12.0,0.011,0.004,7.0,1.007297879163994
303,12.0,0.0099,0.004,7.0,1.0229063527836078
304,13.0,0.011,0.004,7.0,0.9683288107353542
305,13.0,0.0099,0.004,7.0,1.0027020538445068
306,14.0,0.011,0.004,7.0,1.0215702353165748
307,14.0,0.0099,0.004,7.0,0.9729687395758727
308,15.0,0.011,0.004,7.0,1.0170148150884704
309,15.0,0.0099,0.004,7.0,0.9899018962722269
310,16.0,0.011,0.004,7.0,0.9974196455886315
311,16.0,0.0099,0.004,7.0,1.0061319802499775
312,17.0,0.011,0.004,7.0,1.045489331245287
313,17.0,0.0099,0.004,7.0,1.0307940603399035
314,18.0,0.011,0.004,7.0,0.9648647934853297
315,18.0,0.0099,0.004,7.0,1.022602135746424
316,19.0,0.011,0.004,7.0,0.9981443271808612
317,19.0,0.0099,0.004,7.0,0.9958849268156013
318,20.0,0.011,0.004,7.0,1.0004461477339794
319,20.0,0.0099,0.004,7.0,1.0300327586733886
320,1.0,0.011,0.007,7.0,0.9475319890698407
321,1.0,0.0099,0.007,7.0,1.0309007764168925
322,2.0,0.011,0.007,7.0,0.9630331873534159
323,2.0,0.0099,0.007,7.0,0.9677436232677409
324,3.0,0.011,0.007,7.0,0.9664142316614396
325,3.0,0.0099,0.007,7.0,0.9612928872552119
326,4.0,0.011,0.007,7.0,0.95356189962508
327,4.0,0.0099,0.007,7.0,1.0206878036682536
328,5.0,0.011,0.007,7.0,1.0489895603380066
329,5.0,0.0099,0.007,7.0,1.0230424436501904
330,6.0,0.011,0.007,7.0,0.9501411354212995
331,6.0,0.0099,0.007,7.0,0.9900857538856978
332,7.0,0.011,0.007,7.0,1.0520284386108756
333,7.0,0.0099,0.007,7.0,0.9925134789916421
334,8.0,0.011,0.007,7.0,1.023488237090085
335,8.0,0.0099,0.007,7.0,0.9932834498534551
336,9.0,0.011,0.007,7.0,0.9845342284690254
337,9.0,0.0099,0.007,7.0,1.0071217958134333
338,10.0,0.011,0.007,7.0,1.0493456376171677
339,10.0,0.0099,0.007,7.0,1.0127482704739061
340,11.0,0.011,0.007,7.0,0.9502371637445377
341,11.0,0.0099,0.007,7.0,0.9841221152408604
342,12.0,0.011,0.007,7.0,1.0535188108458091
343,12.0,0.0099,0.007,7.0,0.9595503929788949
344,13.0,0.011,0.007,7.0,0.9877184814487225
345,13.0,0.0099,0.007,7.0,1.0500508274711495
346,14.0,0.011,0.007,7.0,0.9711405563150968
347,14.0,0.0099,0.007,7.0,1.0256646471902293
348,15.0,0.011,0.007,7.0,1.03349845184818
349,15.0,0.0099,0.007,7.0,1.0088803874608303
350,16.0,0.011,0.007,7.0,1.0124891194184484
351,16.0,0.0099,0.007,7.0,0.9725582094694779
352,17.0,0.011,0.007,7.0,1.0133036410059395
353,17.0,0.0099,0.007,7.0,1.0172526934917236
354,18.0,0.011,0.007,7.0,1.0327916617011867
355,18.0,0.0099,0.007,7.0,0.9588608197735575
356,19.0,0.011,0.007,7.0,1.0177962923399515
357,19.0,0.0099,0.007,7.0,1.0273948380509141
358,20.0,0.011,0.007,7.0,0.9388897505407575
359,20.0,0.0099,0.007,7.0,0.9811980951846516
360,1.0,0.011,0.001,9.0,1.0313215406074439
361,1.0,0.0099,0.001,9.0,1.05747440964355
362,2.0,0.011,0.001,9.0,1.0514210172626153
363,2.0,0.0099,0.001,9.0,1.0228147524581852
364,3.0,0.011,0.001,9.0,1.05388749526755
365,3.0,0.0099,0.001,9.0,1.0401513903568222
366,4.0,0.011,0.001,9.0,1.049174476476493
367,4.0,0.0099,0.001,9.0,1.0533358837071325
368,5.0,0.011,0.001,9.0,1.0350815492027703
369,5.0,0.0099,0.001,9.0,1.031859696409447
370,6.0,0.011,0.001,9.0,1.0521827997063933
371,6.0,0.0099,0.001,9.0,1.034386131475019
372,7.0,0.011,0.001,9.0,1.054307066999445
373,7.0,0.0099,0.001,9.0,1.0289982306536167
374,8.0,0.011,0.001,9.0,1.0238550047699153
375,8.0,0.0099,0.001,9.0,1.0442739825593648
376,9.0,0.011,0.001,9.0,1.0303226594841062
377,9.0,0.0099,0.001,9.0,1.0310503020929216
378,10.0,0.011,0.001,9.0,1.042278849183681
379,10.0,0.0099,0.001,9.0,1.0425410376193716
380,11.0,0.011,0.001,9.0,1.0314893478051073
381,11.0,0.0099,0.001,9.0,1.0297902465859212
382,12.0,0.011,0.001,9.0,1.041606928614593
383,12.0,0.0099,0.001,9.0,1.0424799687435713
384,13.0,0.011,0.001,9.0,1.038190948156756
385,13.0,0.0099,0.001,9.0,1.0357979106974904
386,14.0,0.011,0.001,9.0,1.039521354757458
387,14.0,0.0099,0.001,9.0,1.0412001113553102
388,15.0,0.011,0.001,9.0,1.044521057121472
389,15.0,0.0099,0.001,9.0,1.034077823994735
390,16.0,0.011,0.001,9.0,1.0323117350816262
391,16.0,0.0099,0.001,9.0,1.0574621792519496
392,17.0,0.011,0.001,9.0,1.0284303013608587
393,17.0,0.0099,0.001,9.0,1.0182544934715259
394,18.0,0.011,0.001,9.0,1.0338157194507367
395,18.0,0.0099,0.001,9.0,1.0175832786186518
396,19.0,0.011,0.001,9.0,1.0265901321918713
397,19.0,0.0099,0.001,9.0,1.03731847209338
398,20.0,0.011,0.001,9.0,1.0348020873436963
399,20.0,0.0099,0.001,9.0,1.0545033336007628
400,1.0,0.011,0.004,9.0,1.0234490154963147
401,1.0,0.0099,0.004,9.0,0.9988894971091277
402,2.0,0.011,0.004,9.0,0.9803819979678775
403,2.0,0.0099,0.004,9.0,1.0260944936186622
404,3.0,0.011,0.004,9.0,0.9821635716349216
405,3.0,0.0099,0.004,9.0,1.0182722069262495
406,4.0,0.011,0.004,9.0,1.0492721369999805
407,4.0,0.0099,0.004,9.0,1.0495174735553003
408,5.0,0.011,0.004,9.0,0.9862556707367066
409,5.0,0.0099,0.004,9.0,1.009742452273445
410,6.0,0.011,0.004,9.0,1.0089390214671201
411,6.0,0.0099,0.004,9.0,1.0141714645919926
412,7.0,0.011,0.004,9.0,1.0158255024591614
413,7.0,0.0099,0.004,9.0,1.0225185139687953
414,8.0,0.011,0.004,9.0,0.9952293515888366
415,8.0,0.0099,0.004,9.0,0.9652540220819065
416,9.0,0.011,0.004,9.0,0.9963231612653445
417,9.0,0.0099,0.004,9.0,0.9864436153085885
418,10.0,0.011,0.004,9.0,0.9998910349227482
419,10.0,0.0099,0.004,9.0,1.011672208512185
420,11.0,0.011,0.004,9.0,1.0140857831603174
421,11.0,0.0099,0.004,9.0,0.9662527714424833
422,12.0,0.011,0.004,9.0,0.9931021272159162
423,12.0,0.0099,0.004,9.0,0.9952906319764075
424,13.0,0.011,0.004,9.0,1.0176756592214502
425,13.0,0.0099,0.004,9.0,1.0207024187560745
426,14.0,0.011,0.004,9.0,0.9767838070443885
427,14.0,0.0099,0.004,9.0,0.99088265849748
428,15.0,0.011,0.004,9.0,0.9535543668682115
429,15.0,0.0099,0.004,9.0,1.02810096131792
430,16.0,0.011,0.004,9.0,0.9930870912751767
431,16.0,0.0099,0.004,9.0,1.0085129965126456
432,17.0,0.011,0.004,9.0,1.0487438863782514
433,17.0,0.0099,0.004,9.0,0.972413225232949
434,18.0,0.011,0.004,9.0,1.0272579411706888
435,18.0,0.0099,0.004,9.0,1.0165426138314535
436,19.0,0.011,0.004,9.0,0.9842669339446309
437,19.0,0.0099,0.004,9.0,1.058237634823271
438,20.0,0.011,0.004,9.0,1.0185111360834598
439,20.0,0.0099,0.004,9.0,1.0450157277181085
440,1.0,0.011,0.007,9.0,0.9864106294562057
441,1.0,0.0099,0.007,9.0,1.0151704674131785
442,2.0,0.011,0.007,9.0,0.9635535796059832
443,2.0,0.0099,0.007,9.0,0.999205913091302
444,3.0,0.011,0.007,9.0,1.0184583088174588
445,3.0,0.0099,0.007,9.0,0.9537587444220007
446,4.0,0.011,0.007,9.0,0.9835541737635175
447,4.0,0.0099,0.007,9.0,0.973449894931639
448,5.0,0.011,0.007,9.0,1.0017708349116037
449,5.0,0.0099,0.007,9.0,0.9821047454699315
450,6.0,0.011,0.007,9.0,0.9981103152560102
451,6.0,0.0099,0.007,9.0,1.021949132565596
452,7.0,0.011,0.007,9.0,0.9917339594372551
453,7.0,0.0099,0.007,9.0,1.042512514911922
454,8.0,0.011,0.007,9.0,0.9754695022193952
455,8.0,0.0099,0.007,9.0,1.042973963411298
456,9.0,0.011,0.007,9.0,0.9758526414512365
457,9.0,0.0099,0.007,9.0,0.9407573116709813
458,10.0,0.011,0.007,9.0,0.9946205773612746
459,10.0,0.0099,0.007,9.0,1.0185442857525409
460,11.0,0.011,0.007,9.0,1.0275265192972682
461,11.0,0.0099,0.007,9.0,1.0056614617784885
462,12.0,0.011,0.007,9.0,0.9812993575672014
463,12.0,0.0099,0.007,9.0,0.980407044811976
464,13.0,0.011,0.007,9.0,0.9826818267317784
465,13.0,0.0099,0.007,9.0,0.935390918099424
466,14.0,0.011,0.007,9.0,0.9928402110462058
467,14.0,0.0099,0.007,9.0,1.0012958650778496
468,15.0,0.011,0.007,9.0,0.9776657541107354
469,15.0,0.0099,0.007,9.0,0.9886595788369813
470,16.0,0.011,0.007,9.0,0.9749930639557514
471,16.0,0.0099,0.007,9.0,1.0167065998150697
472,17.0,0.011,0.007,9.0,0.9462404236370001
473,17.0,0.0099,0.007,9.0,1.024142874334862
474,18.0,0.011,0.007,9.0,0.9913751619803739
475,18.0,0.0099,0.007,9.0,0.9499195865895853
476,19.0,0.011,0.007,9.0,0.9987983441264066
477,19.0,0.0099,0.007,9.0,0.9752103599528763
478,20.0,0.011,0.007,9.0,1.023796427968438
479,20.0,0.0099,0.007,9.0,0.9527892718719654
480,1.0,0.011,0.001,16.0,1.0297597575134148
481,1.0,0.0099,0.001,16.0,1.0315025828646862
482,2.0,0.011,0.001,16.0,1.0314364296492442
483,2.0,0.0099,0.001,16.0,1.0431344077561286
484,3.0,0.011,0.001,16.0,1.0326581709032112
485,3.0,0.0099,0.001,16.0,1.0325805855836874
486,4.0,0.011,0.001,16.0,1.0303336358059423
487,4.0,0.0099,0.001,16.0,1.0494252251851226
488,5.0,0.011,0.001,16.0,1.0349754554547377
489,5.0,0.0099,0.001,16.0,1.0400186004732308
490,6.0,0.011,0.001,16.0,1.035461810789033
491,6.0,0.0099,0.001,16.0,1.0490184339684527
492,7.0,0.011,0.001,16.0,1.0556384619328787
493,7.0,0.0099,0.001,16.0,1.0480232007316335
494,8.0,0.011,0.001,16.0,1.0470097238323413
495,8.0,0.0099,0.001,16.0,1.0290692181569745
496,9.0,0.011,0.001,16.0,1.0431434882901005
497,9.0,0.0099,0.001,16.0,1.0389146477765838
498,10.0,0.011,0.001,16.0,1.0445901068791312
499,10.0,0.0099,0.001,16.0,1.0403635999459104
500,11.0,0.011,0.001,16.0,1.0486091473750798
501,11.0,0.0099,0.001,16.0,1.0345691349757924
502,12.0,0.011,0.001,16.0,1.0386311291657355
503,12.0,0.0099,0.001,16.0,1.045141541601235
504,13.0,0.011,0.001,16.0,1.0327923906909513
505,13.0,0.0099,0.001,16.0,1.0347729696141905
506,14.0,0.011,0.001,16.0,1.0295949148881334
507,14.0,0.0099,0.001,16.0,1.0482077750868346
508,15.0,0.011,0.001,16.0,1.0359797350485773
509,15.0,0.0099,0.001,16.0,1.0419758609095322
