r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted
26,3.0214796619855773,0.9873826262179776,0.9064962538464784,0.8753740700069667
27,3.024600712606984,0.9884905790811168,0.9075836254900969,0.8760623038743759
28,3.0351612518119113,0.98734209532263,0.9073643517733001,0.8767830992533976
29,3.0373079285352365,0.9873328838407708,0.905863297803059,0.8770175560634692
30,3.04095977065756,0.9869863071835406,0.9097676784380733,0.8789020921026724
31,3.053627001209095,0.9884497190868076,0.9073284631395399,0.8772954866077994
32,3.0463066281519713,0.9902384783574774,0.9090713419843469,0.8768032569488884
33,3.057071342444458,0.9891070898697579,0.9094612231275131,0.87770380536834
34,3.063306869454102,0.9872319047406327,0.9076078990092875,0.8770202950126893
35,3.0537551935659173,0.9890793993874748,0.9098559148497276,0.8787435694022392
36,3.0645100545488866,0.987539165430497,0.9093568121082529,0.8775254326643855
37,3.069876417844578,0.9902010524603486,0.9081829140422253,0.874794080606927
38,3.076237537131792,0.9911660379140094,0.9103689198238686,0.8783896059063442
39,3.0773353495521976,0.989011149165512,0.9097049783633209,0.8755982776286545
40,3.085964668498977,0.9880236918412164,0.9101710426274577,0.8771369269836721
41,3.083778190948078,0.9910864938290999,0.9109031356616051,0.8785166668978952
42,3.088895302899987,0.99249818830155,0.9106784414119138,0.8764469171841917
43,3.086114511372225,0.9923950438365899,0.911533905210532,0.8771167760130201
44,3.1016613578649346,0.9915019213898671,0.9104713945968297,0.8772626762413939
45,3.1123334350444374,0.9936631083476463,0.9128413551889993,0.878176320883377
46,3.114750361425522,0.9914873594459821,0.9110151312916079,0.876874227140051
47,3.1068149071116635,0.9911936879556041,0.9122841814167936,0.877537378321872
48,3.107846867660719,0.9929276861503181,0.9113167064739225,0.877249969618303
49,3.123947241209542,0.9916901624470814,0.9125904881386375,0.877297526551332
50,3.1165325172076646,0.9917329900119224,0.9113174211870483,0.877950664137553
51,3.1192516579898517,0.9934910037249602,0.9127166406072206,0.8765894773879012
52,3.141718876859454,0.9938669973209804,0.9116669144730296,0.8779024480374035
53,3.1353944996917407,0.9944956067286119,0.9107015462424812,0.8785205838053932
54,3.1403619926145176,0.9945180610057436,0.9127134506604353,0.8761875271177841
55,3.1443551028759975,0.9924979369844599,0.9136742516876031,0.8776811409474065
56,3.152361875396066,0.9964093562051223,0.9156286419834953,0.8792733154964575
57,3.1554935104625077,0.9943724194677381,0.9120683447205905,0.87773534304487
58,3.168052796132592,0.9974476128972327,0.9130958588977112,0.8783124027635254
59,3.15597040748734,0.9970820944352748,0.9140467231883229,0.8790356061768131
