index,lambda,eta,r,RMSE
191,0.05,0.001,80.0,1.046575866641908
192,0.05,0.01,80.0,1.0084031734827295
193,0.05,0.05,80.0,1.0258375033701614
194,0.05,0.1,80.0,1.4014103524564967
195,0.1,0.0001,80.0,1.0659881273215064
196,0.1,0.001,80.0,1.0469261381793467
197,0.1,0.01,80.0,1.0029308727564767
198,0.1,0.05,80.0,1.0406391388576868
199,0.1,0.1,80.0,1.3432060615726724
200,0.5,0.0001,80.0,1.0650634702871575
201,0.5,0.001,80.0,1.0623661096893637
202,0.5,0.01,80.0,1.061471537088212
203,0.5,0.05,80.0,1.125076089622784
204,0.5,0.1,80.0,1.316042735238781
205,1.0,0.0001,80.0,1.067872932345937
206,1.0,0.001,80.0,1.0688625472200661
207,1.0,0.01,80.0,1.1302939869162243
208,1.0,0.05,80.0,1.3212011514868418
209,1.0,0.1,80.0,1.4876823873779923
210,0.001,0.0001,100.0,1.0626526719183125
211,0.001,0.001,100.0,1.036151319172934
212,0.001,0.01,100.0,0.9824761857485066
213,0.001,0.05,100.0,1.0401165122779927
214,0.001,0.1,100.0,1.2338350863185885
215,0.01,0.0001,100.0,1.0620291061480678
216,0.01,0.001,100.0,1.0444959120443031
217,0.01,0.01,100.0,0.9877311356181832
218,0.01,0.05,100.0,1.0358241061650948
219,0.01,0.1,100.0,1.3459399396776721
220,0.05,0.0001,100.0,1.062442944889253
221,0.05,0.001,100.0,1.050435842723803
222,0.05,0.01,100.0,1.005301061028646
223,0.05,0.05,100.0,1.0473017668662883
224,0.05,0.1,100.0,1.404237949608465
225,0.1,0.0001,100.0,1.0687981400734776
226,0.1,0.001,100.0,1.0457679766592505
227,0.1,0.01,100.0,1.0446925601863144
228,0.1,0.05,100.0,1.0407918503748927
229,0.1,0.1,100.0,1.3626355629264177
230,0.5,0.0001,100.0,1.0654686630558732
231,0.5,0.001,100.0,1.053705816308382
232,0.5,0.01,100.0,1.0551556143585292
233,0.5,0.05,100.0,1.1368091142126893
234,0.5,0.1,100.0,1.3638203878117556
235,1.0,0.0001,100.0,1.0678837812335673
236,1.0,0.001,100.0,1.0674839276213768
237,1.0,0.01,100.0,1.1214702439032131
238,1.0,0.05,100.0,1.2227934594761574
239,1.0,0.1,100.0,1.511697310395772
