index,lambda,eta,r,RMSE
2120,0.017,0.02,12.0,0.9767845915323763
2121,0.018000000000000002,0.008,12.0,1.0459623445302793
2122,0.018000000000000002,0.009,12.0,0.973456614441522
2123,0.018000000000000002,0.0099,12.0,0.9860684538980111
2124,0.018000000000000002,0.01,12.0,0.9679621399715356
2125,0.018000000000000002,0.011,12.0,0.9703131825774498
2126,0.018000000000000002,0.012,12.0,0.9413103079453157
2127,0.018000000000000002,0.02,12.0,1.0244415552876334
2128,0.019000000000000003,0.008,12.0,1.0047558222726765
2129,0.019000000000000003,0.009,12.0,1.0217053528889672
2130,0.019000000000000003,0.0099,12.0,1.021856046763969
2131,0.019000000000000003,0.01,12.0,0.995076731191099
2132,0.019000000000000003,0.011,12.0,0.9538593985466631
2133,0.019000000000000003,0.012,12.0,0.9540839968051217
2134,0.019000000000000003,0.02,12.0,0.9698356182444384
2135,0.02,0.008,12.0,0.9454308896883136
2136,0.02,0.009,12.0,0.9570755829947574
2137,0.02,0.0099,12.0,1.0263814783322953
2138,0.02,0.01,12.0,0.9611659844567392
2139,0.02,0.011,12.0,0.9575013298163049
2140,0.02,0.012,12.0,1.012259563867461
2141,0.02,0.02,12.0,0.9981707589068746
2142,0.025,0.008,12.0,0.9645831081410925
2143,0.025,0.009,12.0,0.9859690461347626
2144,0.025,0.0099,12.0,1.0214477992099198
2145,0.025,0.01,12.0,1.000769913121827
2146,0.025,0.011,12.0,0.9550886396665346
2147,0.025,0.012,12.0,1.0020987135172443
2148,0.025,0.02,12.0,0.9756665242180251
2149,0.030000000000000002,0.008,12.0,0.987518325981709
2150,0.030000000000000002,0.009,12.0,1.0151569998518997
2151,0.030000000000000002,0.0099,12.0,0.9943340932607544
2152,0.030000000000000002,0.01,12.0,1.0580030501456943
2153,0.030000000000000002,0.011,12.0,0.953452164221717
2154,0.030000000000000002,0.012,12.0,0.9591192754777328
2155,0.030000000000000002,0.02,12.0,0.9621676912466021
2156,0.035,0.008,12.0,1.0029092195561256
2157,0.035,0.009,12.0,0.9795343902240182
2158,0.035,0.0099,12.0,1.002648850236514
2159,0.035,0.01,12.0,0.9546469670104872
2160,0.035,0.011,12.0,0.992867560569097
2161,0.035,0.012,12.0,0.9359146364273284
2162,0.035,0.02,12.0,1.0642705796302119
2163,0.04000000000000001,0.008,12.0,1.0232184631652272
2164,0.04000000000000001,0.009,12.0,0.9687216265639245
2165,0.04000000000000001,0.0099,12.0,0.9800583086802627
2166,0.04000000000000001,0.01,12.0,0.9874345656038713
2167,0.04000000000000001,0.011,12.0,0.9611407502614805
2168,0.04000000000000001,0.012,12.0,1.0307850452369962
2169,0.04000000000000001,0.02,12.0,0.9804807372715268
2170,0.045000000000000005,0.008,12.0,1.008942164793577
2171,0.045000000000000005,0.009,12.0,1.002083954473846
2172,0.045000000000000005,0.0099,12.0,0.9804367357326877
2173,0.045000000000000005,0.01,12.0,1.007015211469885
2174,0.045000000000000005,0.011,12.0,0.9816239519056895
2175,0.045000000000000005,0.012,12.0,1.0120958852077384
2176,0.045000000000000005,0.02,12.0,0.9770206210390223
2177,0.05,0.008,12.0,0.9921942976685094
2178,0.05,0.009,12.0,0.9785074171802127
2179,0.05,0.0099,12.0,0.9459463840645727
2180,0.05,0.01,12.0,1.007064436563695
2181,0.05,0.011,12.0,0.9782482681681747
2182,0.05,0.012,12.0,0.9430928267158576
2183,0.05,0.02,12.0,0.9518837792911621
2184,0.001,0.008,13.0,1.0119410919131238
2185,0.001,0.009,13.0,0.9656075551254244
2186,0.001,0.0099,13.0,1.023542859873744
2187,0.001,0.01,13.0,1.0355521986129523
2188,0.001,0.011,13.0,0.9432668642306633
2189,0.001,0.012,13.0,1.0262859235877642
2190,0.001,0.02,13.0,1.0483894478229163
2191,0.002,0.008,13.0,1.0268005055099894
2192,0.002,0.009,13.0,0.9641070556251243
2193,0.002,0.0099,13.0,0.9892535948346075
2194,0.002,0.01,13.0,0.9516730378337425
2195,0.002,0.011,13.0,0.9932220406984248
2196,0.002,0.012,13.0,0.9800709505372779
2197,0.002,0.02,13.0,0.9510163871947401
2198,0.003,0.008,13.0,1.0322746196540507
2199,0.003,0.009,13.0,0.9372702500693592
2200,0.003,0.0099,13.0,0.9880642691599774
2201,0.003,0.01,13.0,0.967125587324807
2202,0.003,0.011,13.0,1.0138041812681111
2203,0.003,0.012,13.0,1.0330788857562383
2204,0.003,0.02,13.0,0.9769242264822857
2205,0.004,0.008,13.0,0.9779894427186032
2206,0.004,0.009,13.0,0.9574939656387
2207,0.004,0.0099,13.0,1.026506917109565
2208,0.004,0.01,13.0,1.000596452631833
2209,0.004,0.011,13.0,0.9953500690731328
2210,0.004,0.012,13.0,0.9366726130849831
2211,0.004,0.02,13.0,0.9600229458107159
2212,0.005,0.008,13.0,0.9821379594612382
2213,0.005,0.009,13.0,0.9924161840359877
2214,0.005,0.0099,13.0,0.9609040713987619
2215,0.005,0.01,13.0,0.99573804802194
2216,0.005,0.011,13.0,0.9988279249552654
2217,0.005,0.012,13.0,0.9673678891574068
2218,0.005,0.02,13.0,0.9855160338187695
2219,0.006,0.008,13.0,0.9788454331412847
2220,0.006,0.009,13.0,1.0007520360527988
2221,0.006,0.0099,13.0,0.9475963211688867
2222,0.006,0.01,13.0,1.008452575007264
2223,0.006,0.011,13.0,0.9400502876527401
2224,0.006,0.012,13.0,0.9847849136657674
2225,0.006,0.02,13.0,0.9527445941224605
2226,0.007,0.008,13.0,1.013232083372024
2227,0.007,0.009,13.0,1.0099454145180444
2228,0.007,0.0099,13.0,1.0133378063609744
2229,0.007,0.01,13.0,1.028201741588485
2230,0.007,0.011,13.0,0.9668901103304303
2231,0.007,0.012,13.0,0.9966636386378686
2232,0.007,0.02,13.0,0.9551983511409533
2233,0.008,0.008,13.0,1.000301864214616
2234,0.008,0.009,13.0,0.99971769399155
2235,0.008,0.0099,13.0,0.9449454335562418
2236,0.008,0.01,13.0,1.0556049850588898
2237,0.008,0.011,13.0,0.9770157748614104
2238,0.008,0.012,13.0,0.9660266503933478
2239,0.008,0.02,13.0,0.9593342367846566
2240,0.009000000000000001,0.008,13.0,0.9709684607371403
2241,0.009000000000000001,0.009,13.0,0.9877776960345256
2242,0.009000000000000001,0.0099,13.0,0.9707315826871938
2243,0.009000000000000001,0.01,13.0,0.9982314819018258
2244,0.009000000000000001,0.011,13.0,0.9587781158915312
2245,0.009000000000000001,0.012,13.0,1.0187324761422054
2246,0.009000000000000001,0.02,13.0,0.9521976633571343
2247,0.010000000000000002,0.008,13.0,0.9953422473275765
2248,0.010000000000000002,0.009,13.0,0.965321203763361
2249,0.010000000000000002,0.0099,13.0,0.9835666589154222
2250,0.010000000000000002,0.01,13.0,0.9426958788053561
2251,0.010000000000000002,0.011,13.0,0.9945912214520097
2252,0.010000000000000002,0.012,13.0,1.0179510863193129
2253,0.010000000000000002,0.02,13.0,1.001437753961361
2254,0.011,0.008,13.0,0.9987209079752088
2255,0.011,0.009,13.0,0.9863879238850176
2256,0.011,0.0099,13.0,0.966648975279204
2257,0.011,0.01,13.0,0.953572179910196
2258,0.011,0.011,13.0,0.9696235727108452
2259,0.011,0.012,13.0,0.9871474703756247
2260,0.011,0.02,13.0,0.9510963428969279
2261,0.012,0.008,13.0,0.9989563074416578
2262,0.012,0.009,13.0,0.9432426516008381
2263,0.012,0.0099,13.0,0.9934988338019978
2264,0.012,0.01,13.0,0.9753555369079161
2265,0.012,0.011,13.0,1.0168415789608665
2266,0.012,0.012,13.0,1.0232968218424927
2267,0.012,0.02,13.0,1.0235474032831247
2268,0.013000000000000001,0.008,13.0,1.0336940418565024
2269,0.013000000000000001,0.009,13.0,1.0275034205410087
2270,0.013000000000000001,0.0099,13.0,1.002083626899578
2271,0.013000000000000001,0.01,13.0,0.9650105453887093
2272,0.013000000000000001,0.011,13.0,0.990687994878474
2273,0.013000000000000001,0.012,13.0,1.045408586927095
2274,0.013000000000000001,0.02,13.0,1.0229970096531906
2275,0.014000000000000002,0.008,13.0,1.0054457730237003
2276,0.014000000000000002,0.009,13.0,0.9714769371331895
2277,0.014000000000000002,0.0099,13.0,1.0050082866962973
2278,0.014000000000000002,0.01,13.0,0.9966237235148303
2279,0.014000000000000002,0.011,13.0,0.9534969313015677
2280,0.014000000000000002,0.012,13.0,1.0293156749019645
2281,0.014000000000000002,0.02,13.0,0.9420198480628231
2282,0.015,0.008,13.0,0.9571276635281767
2283,0.015,0.009,13.0,0.9656354552474402
2284,0.015,0.0099,13.0,0.9513982850086319
2285,0.015,0.01,13.0,1.048325616287959
2286,0.015,0.011,13.0,0.9882826705468549
2287,0.015,0.012,13.0,0.991195668908117
2288,0.015,0.02,13.0,0.9644085285226006
2289,0.016,0.008,13.0,0.9533530504561535
2290,0.016,0.009,13.0,1.029487857744907
2291,0.016,0.0099,13.0,0.9398191818911664
2292,0.016,0.01,13.0,1.0072264522318224
2293,0.016,0.011,13.0,1.0143465730490584
2294,0.016,0.012,13.0,0.9780161147010903
2295,0.016,0.02,13.0,0.9947801846965038
2296,0.017,0.008,13.0,0.9744402866152387
2297,0.017,0.009,13.0,0.9642168961109984
2298,0.017,0.0099,13.0,0.9779078742334059
2299,0.017,0.01,13.0,0.97242755884313
2300,0.017,0.011,13.0,0.9840355027057593
2301,0.017,0.012,13.0,0.9995095836918898
2302,0.017,0.02,13.0,0.9823276775675329
2303,0.018000000000000002,0.008,13.0,0.9953723731470346
2304,0.018000000000000002,0.009,13.0,0.9432912830353335
2305,0.018000000000000002,0.0099,13.0,1.033521425658603
2306,0.018000000000000002,0.01,13.0,0.9759969672804373
2307,0.018000000000000002,0.011,13.0,0.9651488729916262
2308,0.018000000000000002,0.012,13.0,1.0032797138123164
2309,0.018000000000000002,0.02,13.0,0.956184220023504
2310,0.019000000000000003,0.008,13.0,1.0167310932595843
2311,0.019000000000000003,0.009,13.0,0.994685503160844
2312,0.019000000000000003,0.0099,13.0,1.0057454892439288
2313,0.019000000000000003,0.01,13.0,1.0055402785128114
2314,0.019000000000000003,0.011,13.0,1.0164856903860116
2315,0.019000000000000003,0.012,13.0,0.9755477761154754
2316,0.019000000000000003,0.02,13.0,0.9415300971515445
2317,0.02,0.008,13.0,0.9954276639281464
2318,0.02,0.009,13.0,1.0306427480126823
2319,0.02,0.0099,13.0,1.047729402808396
2320,0.02,0.01,13.0,0.9615875495710451
2321,0.02,0.011,13.0,1.031980516113541
2322,0.02,0.012,13.0,1.0055181803884865
2323,0.02,0.02,13.0,0.9602639925630525
2324,0.025,0.008,13.0,0.9977958756930522
2325,0.025,0.009,13.0,0.9734433415738015
2326,0.025,0.0099,13.0,0.93671715034067
2327,0.025,0.01,13.0,0.9510740076010498
2328,0.025,0.011,13.0,0.9801250747641284
2329,0.025,0.012,13.0,0.9415883169309252
2330,0.025,0.02,13.0,0.9412078469501737
2331,0.030000000000000002,0.008,13.0,1.024160410108061
2332,0.030000000000000002,0.009,13.0,0.9641919037797637
2333,0.030000000000000002,0.0099,13.0,1.0572958234711245
2334,0.030000000000000002,0.01,13.0,0.960588852108017
2335,0.030000000000000002,0.011,13.0,0.9732458938117154
2336,0.030000000000000002,0.012,13.0,0.9954939635899024
2337,0.030000000000000002,0.02,13.0,0.998874689074593
2338,0.035,0.008,13.0,1.025906536973806
2339,0.035,0.009,13.0,0.9892189577424755
2340,0.035,0.0099,13.0,0.9894377254833246
2341,0.035,0.01,13.0,0.9392597790435211
2342,0.035,0.011,13.0,0.9687828732738583
2343,0.035,0.012,13.0,1.0480856741402846
2344,0.035,0.02,13.0,1.0096522737842402
2345,0.04000000000000001,0.008,13.0,0.94673265277279
2346,0.04000000000000001,0.009,13.0,1.0114436481313311
2347,0.04000000000000001,0.0099,13.0,0.9714294702532664
2348,0.04000000000000001,0.01,13.0,1.0173952263975483
2349,0.04000000000000001,0.011,13.0,0.9881388816888189
2350,0.04000000000000001,0.012,13.0,0.9725842183164617
2351,0.04000000000000001,0.02,13.0,0.9455137932714606
2352,0.045000000000000005,0.008,13.0,0.99011958602373
2353,0.045000000000000005,0.009,13.0,1.0149095326829438
2354,0.045000000000000005,0.0099,13.0,0.9781644166366669
2355,0.045000000000000005,0.01,13.0,0.990536127367953
2356,0.045000000000000005,0.011,13.0,0.9819810785166472
2357,0.045000000000000005,0.012,13.0,1.0064561309689348
2358,0.045000000000000005,0.02,13.0,0.9910229360571917
2359,0.05,0.008,13.0,0.9918834450548826
2360,0.05,0.009,13.0,0.9644009956243287
2361,0.05,0.0099,13.0,0.9799618155847069
2362,0.05,0.01,13.0,0.9904404419203738
2363,0.05,0.011,13.0,0.9454205289861244
2364,0.05,0.012,13.0,1.0042076695339823
2365,0.05,0.02,13.0,0.9951019537513113
2366,0.001,0.008,14.0,1.050002895711291
2367,0.001,0.009,14.0,0.9584879762534138
2368,0.001,0.0099,14.0,1.0105337776576357
2369,0.001,0.01,14.0,0.994374258391099
2370,0.001,0.011,14.0,0.9855619009806588
2371,0.001,0.012,14.0,1.057749108922382
2372,0.001,0.02,14.0,1.0000040615221142
2373,0.002,0.008,14.0,1.0162275044178528
2374,0.002,0.009,14.0,0.9399146801868901
2375,0.002,0.0099,14.0,1.036076606678558
2376,0.002,0.01,14.0,1.0167015686385237
2377,0.002,0.011,14.0,0.9388584285826129
2378,0.002,0.012,14.0,0.9843527536326265
2379,0.002,0.02,14.0,0.9470647452621235
2380,0.003,0.008,14.0,0.968107509788073
2381,0.003,0.009,14.0,1.0382074556969847
2382,0.003,0.0099,14.0,0.9981457620789679
2383,0.003,0.01,14.0,1.0340112556348926
2384,0.003,0.011,14.0,1.0028408552841328
2385,0.003,0.012,14.0,0.9511974812036065
2386,0.003,0.02,14.0,0.9520391826081247
2387,0.004,0.008,14.0,1.0171384284590994
2388,0.004,0.009,14.0,0.9835590895432829
2389,0.004,0.0099,14.0,1.044810663175499
2390,0.004,0.01,14.0,0.9679122873045423
2391,0.004,0.011,14.0,1.0177224275806362
2392,0.004,0.012,14.0,0.9931294832133286
2393,0.004,0.02,14.0,0.9628608782535466
2394,0.005,0.008,14.0,0.9786702217347002
2395,0.005,0.009,14.0,0.9697623365332189
2396,0.005,0.0099,14.0,0.9727225587018484
2397,0.005,0.01,14.0,0.9681965473512671
2398,0.005,0.011,14.0,0.9822614969398528
2399,0.005,0.012,14.0,1.0243663967087333
2400,0.005,0.02,14.0,0.9611528000439215
2401,0.006,0.008,14.0,0.999734392343671
2402,0.006,0.009,14.0,0.9795752622860834
2403,0.006,0.0099,14.0,0.979214060563736
2404,0.006,0.01,14.0,0.9572532371812779
2405,0.006,0.011,14.0,0.9751010859746452
2406,0.006,0.012,14.0,0.9437749901484627
2407,0.006,0.02,14.0,0.9669379838358942
2408,0.007,0.008,14.0,1.0311557763201693
2409,0.007,0.009,14.0,0.9599558719001693
2410,0.007,0.0099,14.0,1.0030592362723327
2411,0.007,0.01,14.0,0.9664329965142032
2412,0.007,0.011,14.0,0.9712117598021447
2413,0.007,0.012,14.0,0.9611098874796068
2414,0.007,0.02,14.0,0.9533176194731499
2415,0.008,0.008,14.0,0.990998494960084
2416,0.008,0.009,14.0,0.9755983297348875
2417,0.008,0.0099,14.0,0.9804294159365684
2418,0.008,0.01,14.0,1.0316237513122002
2419,0.008,0.011,14.0,0.9996768029090759
2420,0.008,0.012,14.0,0.998717783206724
2421,0.008,0.02,14.0,1.0189190135319814
2422,0.009000000000000001,0.008,14.0,0.9987539410583535
2423,0.009000000000000001,0.009,14.0,0.9602474109561234
2424,0.009000000000000001,0.0099,14.0,1.018969793033895
2425,0.009000000000000001,0.01,14.0,1.0200480811466317
2426,0.009000000000000001,0.011,14.0,0.9438619887972561
2427,0.009000000000000001,0.012,14.0,1.0190706339135844
2428,0.009000000000000001,0.02,14.0,0.942959556201276
2429,0.010000000000000002,0.008,14.0,0.9690967430972458
2430,0.010000000000000002,0.009,14.0,1.0059086623620401
2431,0.010000000000000002,0.0099,14.0,0.9576210758616823
2432,0.010000000000000002,0.01,14.0,0.9410272554430884
2433,0.010000000000000002,0.011,14.0,0.9953244305245683
2434,0.010000000000000002,0.012,14.0,0.999506766289489
2435,0.010000000000000002,0.02,14.0,0.9559904916179265
2436,0.011,0.008,14.0,0.9932566238986159
2437,0.011,0.009,14.0,0.9752850396940098
2438,0.011,0.0099,14.0,0.9903513266894355
2439,0.011,0.01,14.0,0.9350469840811719
2440,0.011,0.011,14.0,1.0379815398163594
2441,0.011,0.012,14.0,0.9768288377595528
2442,0.011,0.02,14.0,1.029847295986923
2443,0.012,0.008,14.0,1.0023022478418193
2444,0.012,0.009,14.0,0.945521830554786
2445,0.012,0.0099,14.0,0.9655351512166491
2446,0.012,0.01,14.0,0.9615262191971263
2447,0.012,0.011,14.0,0.9818162134340659
2448,0.012,0.012,14.0,0.9922747173024399
2449,0.012,0.02,14.0,0.9526909029445079
2450,0.013000000000000001,0.008,14.0,0.9922110243120773
2451,0.013000000000000001,0.009,14.0,0.9435899151174683
2452,0.013000000000000001,0.0099,14.0,0.9658007033516911
2453,0.013000000000000001,0.01,14.0,0.9705358373100125
2454,0.013000000000000001,0.011,14.0,0.9798668398974546
2455,0.013000000000000001,0.012,14.0,0.9533010167267795
2456,0.013000000000000001,0.02,14.0,1.0049774346640012
2457,0.014000000000000002,0.008,14.0,0.9933834897468125
2458,0.014000000000000002,0.009,14.0,0.9918780560183709
2459,0.014000000000000002,0.0099,14.0,1.0099433181120199
2460,0.014000000000000002,0.01,14.0,0.9734470688651835
2461,0.014000000000000002,0.011,14.0,0.9766466960359133
2462,0.014000000000000002,0.012,14.0,0.9616813993339951
2463,0.014000000000000002,0.02,14.0,0.9795004909712132
2464,0.015,0.008,14.0,0.9844037030713225
2465,0.015,0.009,14.0,0.946187721851074
2466,0.015,0.0099,14.0,0.9422184773468972
2467,0.015,0.01,14.0,1.0010438978992375
2468,0.015,0.011,14.0,1.0282630570244957
2469,0.015,0.012,14.0,0.9730437005290794
2470,0.015,0.02,14.0,1.0537695393748119
2471,0.016,0.008,14.0,1.0144766152068474
2472,0.016,0.009,14.0,0.9774190155646584
2473,0.016,0.0099,14.0,1.0328156101558068
2474,0.016,0.01,14.0,0.9932248556468171
2475,0.016,0.011,14.0,0.9879123761177425
2476,0.016,0.012,14.0,1.0237037046326982
2477,0.016,0.02,14.0,0.9739589151470803
2478,0.017,0.008,14.0,0.9477522563381268
2479,0.017,0.009,14.0,1.029129357248836
2480,0.017,0.0099,14.0,0.9595414413553911
2481,0.017,0.01,14.0,0.945423501992322
2482,0.017,0.011,14.0,0.9509021847427169
2483,0.017,0.012,14.0,0.9715096863295608
2484,0.017,0.02,14.0,1.0160410100121138
2485,0.018000000000000002,0.008,14.0,0.9762665639664595
2486,0.018000000000000002,0.009,14.0,1.0573050989894097
2487,0.018000000000000002,0.0099,14.0,0.9481042937549855
2488,0.018000000000000002,0.01,14.0,0.9648880942100683
2489,0.018000000000000002,0.011,14.0,0.946396825163407
2490,0.018000000000000002,0.012,14.0,0.9622764231901042
2491,0.018000000000000002,0.02,14.0,0.9613129866509569
2492,0.019000000000000003,0.008,14.0,0.9467567302851166
2493,0.019000000000000003,0.009,14.0,0.9607898739960169
2494,0.019000000000000003,0.0099,14.0,0.9574674539958932
2495,0.019000000000000003,0.01,14.0,0.9757873518172083
2496,0.019000000000000003,0.011,14.0,1.0570462283436806
2497,0.019000000000000003,0.012,14.0,0.9587453133232416
2498,0.019000000000000003,0.02,14.0,0.9514960910958251
2499,0.02,0.008,14.0,0.9721194412066543
2500,0.02,0.009,14.0,0.9718179418422225
2501,0.02,0.0099,14.0,1.047400508937552
2502,0.02,0.01,14.0,0.9728697755579254
2503,0.02,0.011,14.0,1.0476079026234244
2504,0.02,0.012,14.0,1.0241612913412785
2505,0.02,0.02,14.0,0.961222192204473
2506,0.025,0.008,14.0,0.9884728286946188
2507,0.025,0.009,14.0,0.9483564977862571
2508,0.025,0.0099,14.0,0.9798116576593551
2509,0.025,0.01,14.0,1.0179820547917544
2510,0.025,0.011,14.0,0.9896833254462275
2511,0.025,0.012,14.0,0.9863197056474726
2512,0.025,0.02,14.0,0.954845381300404
2513,0.030000000000000002,0.008,14.0,0.9929628183663547
2514,0.030000000000000002,0.009,14.0,0.9397682587332645
2515,0.030000000000000002,0.0099,14.0,0.9507894385654554
2516,0.030000000000000002,0.01,14.0,1.0228565021737237
2517,0.030000000000000002,0.011,14.0,1.026075143050652
2518,0.030000000000000002,0.012,14.0,0.9476345072146195
2519,0.030000000000000002,0.02,14.0,1.0024308933616415
2520,0.035,0.008,14.0,0.9682818512461155
2521,0.035,0.009,14.0,1.0313430436182598
2522,0.035,0.0099,14.0,0.9600958980861986
2523,0.035,0.01,14.0,0.979197057974221
2524,0.035,0.011,14.0,1.0051657012203379
2525,0.035,0.012,14.0,0.9885876709038767
2526,0.035,0.02,14.0,1.0154899337610552
2527,0.04000000000000001,0.008,14.0,0.9903806488314243
2528,0.04000000000000001,0.009,14.0,0.9550179748475912
2529,0.04000000000000001,0.0099,14.0,1.0241530965734318
2530,0.04000000000000001,0.01,14.0,1.0302684030040767
2531,0.04000000000000001,0.011,14.0,0.9515625957321543
2532,0.04000000000000001,0.012,14.0,0.948506124269696
2533,0.04000000000000001,0.02,14.0,0.9748126417926584
2534,0.045000000000000005,0.008,14.0,0.9666476928872215
2535,0.045000000000000005,0.009,14.0,1.0532818545022886
2536,0.045000000000000005,0.0099,14.0,1.0108229258518855
2537,0.045000000000000005,0.01,14.0,0.9735125205431964
2538,0.045000000000000005,0.011,14.0,0.9525156525858754
2539,0.045000000000000005,0.012,14.0,0.946220714295325
2540,0.045000000000000005,0.02,14.0,0.957077916423787
2541,0.05,0.008,14.0,0.95091027484818
2542,0.05,0.009,14.0,1.0467615668562904
2543,0.05,0.0099,14.0,1.0488490277360913
2544,0.05,0.01,14.0,1.0578496500310435
2545,0.05,0.011,14.0,0.9925087710616142
2546,0.05,0.012,14.0,1.0375991799034536
2547,0.05,0.02,14.0,0.9613575455651734
2548,0.001,0.008,15.0,0.9782238488859585
2549,0.001,0.009,15.0,1.0193713712753965
2550,0.001,0.0099,15.0,0.9767581513271032
2551,0.001,0.01,15.0,0.9904161657345568
2552,0.001,0.011,15.0,0.9718914053054415
2553,0.001,0.012,15.0,0.9827547518969139
2554,0.001,0.02,15.0,0.9531818023481053
2555,0.002,0.008,15.0,1.019638717204356
2556,0.002,0.009,15.0,1.005796036635055
2557,0.002,0.0099,15.0,1.0401469903030347
2558,0.002,0.01,15.0,1.027920845170861
2559,0.002,0.011,15.0,1.010673853688258
2560,0.002,0.012,15.0,1.0161497495830545
2561,0.002,0.02,15.0,0.943416837429919
2562,0.003,0.008,15.0,1.0363742896923613
2563,0.003,0.009,15.0,1.0074926982846282
2564,0.003,0.0099,15.0,0.9377148811151327
2565,0.003,0.01,15.0,1.0470819754388958
2566,0.003,0.011,15.0,0.960698577519851
2567,0.003,0.012,15.0,1.0130000239118828
2568,0.003,0.02,15.0,1.0556106054628729
2569,0.004,0.008,15.0,1.0063270767125654
2570,0.004,0.009,15.0,0.9564469936264332
2571,0.004,0.0099,15.0,1.0331651626318294
2572,0.004,0.01,15.0,1.0438077148948033
2573,0.004,0.011,15.0,0.9906691310453087
2574,0.004,0.012,15.0,1.0011700722935581
2575,0.004,0.02,15.0,0.9850024897414306
2576,0.005,0.008,15.0,0.9922570347500673
2577,0.005,0.009,15.0,0.9724869416815124
2578,0.005,0.0099,15.0,0.9929110454112792
2579,0.005,0.01,15.0,0.9679854682026772
2580,0.005,0.011,15.0,0.9693496078165129
2581,0.005,0.012,15.0,1.0133089307541296
2582,0.005,0.02,15.0,0.9552539952955393
2583,0.006,0.008,15.0,1.0225346490069491
2584,0.006,0.009,15.0,1.024102096952918
2585,0.006,0.0099,15.0,0.9697709418743283
2586,0.006,0.01,15.0,0.9488357829887079
2587,0.006,0.011,15.0,0.9856861233474719
2588,0.006,0.012,15.0,0.9887653920052598
2589,0.006,0.02,15.0,0.9422587087981843
2590,0.007,0.008,15.0,1.0325213476637727
2591,0.007,0.009,15.0,0.9942377050388406
2592,0.007,0.0099,15.0,0.9686022729169436
2593,0.007,0.01,15.0,0.9830309835846676
2594,0.007,0.011,15.0,0.9804815979098139
2595,0.007,0.012,15.0,0.9613843021282941
2596,0.007,0.02,15.0,0.9855127345793233
2597,0.008,0.008,15.0,1.002342843326665
2598,0.008,0.009,15.0,0.9859931204984228
2599,0.008,0.0099,15.0,0.9802100066283739
2600,0.008,0.01,15.0,0.9567256325931629
2601,0.008,0.011,15.0,0.9569041031368357
2602,0.008,0.012,15.0,1.0237019235836813
2603,0.008,0.02,15.0,0.9691412887515052
2604,0.009000000000000001,0.008,15.0,0.9953536513223842
2605,0.009000000000000001,0.009,15.0,0.9808810278196267
2606,0.009000000000000001,0.0099,15.0,0.967894117337087
2607,0.009000000000000001,0.01,15.0,0.9670410486921733
2608,0.009000000000000001,0.011,15.0,0.9822519701446413
2609,0.009000000000000001,0.012,15.0,1.0117118715857856
2610,0.009000000000000001,0.02,15.0,1.009488899107689
2611,0.010000000000000002,0.008,15.0,0.9656703361836062
2612,0.010000000000000002,0.009,15.0,0.9896221847942245
2613,0.010000000000000002,0.0099,15.0,0.9541051015135336
2614,0.010000000000000002,0.01,15.0,0.9681123783465225
2615,0.010000000000000002,0.011,15.0,0.964006322471245
2616,0.010000000000000002,0.012,15.0,1.0382618249218323
2617,0.010000000000000002,0.02,15.0,0.9548894916596805
2618,0.011,0.008,15.0,0.9725864798956634
2619,0.011,0.009,15.0,0.9795910485795651
2620,0.011,0.0099,15.0,0.9338992110502072
2621,0.011,0.01,15.0,0.9763443782671797
2622,0.011,0.011,15.0,1.0110405372513922
2623,0.011,0.012,15.0,0.9664058186789427
2624,0.011,0.02,15.0,1.002434211687971
2625,0.012,0.008,15.0,1.0074262368658944
2626,0.012,0.009,15.0,1.0286558888267745
2627,0.012,0.0099,15.0,1.0353378466952516
2628,0.012,0.01,15.0,0.9795754467209757
2629,0.012,0.011,15.0,1.0112206406057527
2630,0.012,0.012,15.0,0.9891179810978987
2631,0.012,0.02,15.0,0.9643961138497307
2632,0.013000000000000001,0.008,15.0,1.021537933975964
2633,0.013000000000000001,0.009,15.0,0.9705563698036566
2634,0.013000000000000001,0.0099,15.0,0.9709927759508723
2635,0.013000000000000001,0.01,15.0,1.0329320834114823
2636,0.013000000000000001,0.011,15.0,0.9469251514448832
2637,0.013000000000000001,0.012,15.0,0.9626588738164568
2638,0.013000000000000001,0.02,15.0,1.0030577914996084
2639,0.014000000000000002,0.008,15.0,1.0367663709508552
2640,0.014000000000000002,0.009,15.0,1.0285162044671086
2641,0.014000000000000002,0.0099,15.0,0.9898688577652689
2642,0.014000000000000002,0.01,15.0,1.0419218900938874
2643,0.014000000000000002,0.011,15.0,0.94405844535348
2644,0.014000000000000002,0.012,15.0,0.9531337264897248
2645,0.014000000000000002,0.02,15.0,0.9993689975370407
2646,0.015,0.008,15.0,1.0096949844083765
2647,0.015,0.009,15.0,0.9603414013737122
2648,0.015,0.0099,15.0,0.9809943899693839
2649,0.015,0.01,15.0,0.9992103020010301
2650,0.015,0.011,15.0,0.9443754539483422
2651,0.015,0.012,15.0,0.9360022392017516
2652,0.015,0.02,15.0,1.0442437184069542
2653,0.016,0.008,15.0,0.9702333226862542
2654,0.016,0.009,15.0,0.9553339908546508
2655,0.016,0.0099,15.0,0.9654139832403742
2656,0.016,0.01,15.0,1.007234204853101
2657,0.016,0.011,15.0,0.9738380710034682
2658,0.016,0.012,15.0,1.0246690674429049
2659,0.016,0.02,15.0,0.9798215991163323
2660,0.017,0.008,15.0,1.0074128363144526
2661,0.017,0.009,15.0,0.9622467402488012
2662,0.017,0.0099,15.0,1.017306024116674
