index,lambda,eta,r,RMSE
177,0.05,0.0099,1.0,0.9422477071990416
178,0.05,0.01,1.0,0.9376262345257246
179,0.05,0.011,1.0,0.9391020166961331
180,0.05,0.012,1.0,0.959328385660102
181,0.05,0.02,1.0,0.9528455265386468
182,0.001,0.008,2.0,0.9407974443311593
183,0.001,0.009,2.0,1.005384245279836
184,0.001,0.0099,2.0,0.9309719630099336
185,0.001,0.01,2.0,0.9360492712181858
186,0.001,0.011,2.0,1.0211937784776621
187,0.001,0.012,2.0,0.9380061191259831
188,0.001,0.02,2.0,0.9611599191429562
189,0.002,0.008,2.0,0.9590704730895504
190,0.002,0.009,2.0,0.985975455654697
191,0.002,0.0099,2.0,0.9882084004058365
192,0.002,0.01,2.0,0.9434608267138549
193,0.002,0.011,2.0,0.9841209828312497
194,0.002,0.012,2.0,0.9358932916785982
195,0.002,0.02,2.0,0.9452122891382908
196,0.003,0.008,2.0,0.9572912909659954
197,0.003,0.009,2.0,0.9716608672555145
198,0.003,0.0099,2.0,0.935720154692428
199,0.003,0.01,2.0,0.9367729535969113
200,0.003,0.011,2.0,0.9415184002905879
201,0.003,0.012,2.0,0.9840301965428331
202,0.003,0.02,2.0,0.9520440441831978
203,0.004,0.008,2.0,0.9379871300350064
204,0.004,0.009,2.0,0.9398915026133158
205,0.004,0.0099,2.0,0.9352348674530454
206,0.004,0.01,2.0,1.0125686920640076
207,0.004,0.011,2.0,0.9412358481908144
208,0.004,0.012,2.0,0.9562586616996596
209,0.004,0.02,2.0,0.9474441656148894
210,0.005,0.008,2.0,0.9791379345347521
211,0.005,0.009,2.0,0.9612251264834273
212,0.005,0.0099,2.0,0.955107390666269
213,0.005,0.01,2.0,0.9445039881798066
214,0.005,0.011,2.0,0.9609850698565673
215,0.005,0.012,2.0,0.9351423027759341
216,0.005,0.02,2.0,0.9761432039717247
217,0.006,0.008,2.0,0.9615825869934507
218,0.006,0.009,2.0,0.9372932984393771
219,0.006,0.0099,2.0,0.9441559818113919
220,0.006,0.01,2.0,0.9527698390394427
221,0.006,0.011,2.0,0.9327542009374593
222,0.006,0.012,2.0,0.9483765996787835
223,0.006,0.02,2.0,0.9465245665724523
224,0.007,0.008,2.0,1.0110379055869771
225,0.007,0.009,2.0,1.0602967449653138
226,0.007,0.0099,2.0,0.9363687376227519
227,0.007,0.01,2.0,1.018381613224656
228,0.007,0.011,2.0,0.9360896965986157
229,0.007,0.012,2.0,0.9400425162394732
230,0.007,0.02,2.0,0.9651016463690291
231,0.008,0.008,2.0,1.0422842823887035
232,0.008,0.009,2.0,1.0343404780037364
233,0.008,0.0099,2.0,0.9392748235881279
234,0.008,0.01,2.0,0.9620914356849686
235,0.008,0.011,2.0,1.0137602167561923
236,0.008,0.012,2.0,0.9324467905844445
237,0.008,0.02,2.0,0.9496626745162023
238,0.009000000000000001,0.008,2.0,0.9814387274370135
239,0.009000000000000001,0.009,2.0,0.9616406222117506
240,0.009000000000000001,0.0099,2.0,1.0142986629995892
241,0.009000000000000001,0.01,2.0,1.0245970074602773
242,0.009000000000000001,0.011,2.0,0.9547378397024568
