r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted,rmse_col_means
28,2.792894523310798,0.9547526317727384,0.9092658822992604,0.8798334434295693,0.9491693063865576
29,2.7967075589882286,0.956967533341094,0.9110122712929823,0.879549454746443,0.948627009746863
30,2.7979463699205707,0.9584673172728077,0.9103009639384688,0.8788290673940004,0.9489648463693612
31,2.7998046457422605,0.9621199335212018,0.9117267440148272,0.8785041027555386,0.949120851528662
32,2.80376871209269,0.96403105858498,0.9116085970583032,0.8795342265268845,0.9486574811895114
33,2.807542658489415,0.9669007823663144,0.9105789036784252,0.8790899032839788,0.9480875296995795
34,2.8127281617230557,0.9715922256831102,0.9111227459179208,0.8798535739173458,0.9480929961828308
35,2.81372498914296,0.9745732652606904,0.913158129279194,0.8791333363833055,0.9483696316527512
36,2.814303198006209,0.9792575454456162,0.913927081527924,0.8789225218666578,0.9490833230214436
37,2.8210422242300246,0.9825100458791552,0.9145003720921014,0.8792265399125949,0.9479106838424284
38,2.8238767028912517,0.98420478602197,0.91403010155725,0.8782229248426294,0.9493622719379704
39,2.8275010320170613,0.9861638517279387,0.9145512230087202,0.8786655444408237,0.947252354373572
40,2.8312160490010254,0.987606070227904,0.9148536116735464,0.8798352982872396,0.9478991568119204
41,2.83454782840026,0.9907260343945476,0.9155203724148344,0.8794226744098396,0.9486028300198952
42,2.839977985293708,0.9931351014430908,0.9164205150008788,0.8792579595401387,0.9481382248853945
43,2.8447634043451764,0.9919080867953232,0.915811168796793,0.8785469912200855,0.9485113714437172
44,2.8461211102647,0.9925370357254608,0.9162279541086336,0.8794913512811244,0.9491334401307612
45,2.849477869388432,0.9935511461830634,0.9159295901198572,0.8791077131635119,0.9495058828883008
46,2.860425307573892,0.993729436975618,0.9169466707508692,0.8801707106912116,0.94985698326527
47,2.8620485369101125,0.9943401335892916,0.9176810531346448,0.8804622442457685,0.949180373414356
48,2.8629604365189176,0.9947917962277996,0.9179118217644616,0.8807520681817571,0.9516700252598544
49,2.8667074652549904,0.9947683708518912,0.918100519944594,0.8800702130495502,0.9499180501922074
50,2.872390625646889,0.995724810045602,0.9176958971229978,0.8809158165946354,0.951286330086391
51,2.8738540020941605,0.9965245657627222,0.9177519952056352,0.8796146392896697,0.9511837162794086
52,2.8776051096444686,0.9954116205819196,0.9183610289596504,0.8813430711581872,0.950977129136664
53,2.878982486628826,0.997403257947172,0.9183507861599506,0.8812802766556889,0.950484200109882
54,2.8882149898047453,0.9979878882019858,0.9185465264796138,0.8798816073736477,0.9513491753450384
55,2.891262043726408,0.9980455011393212,0.9180933529858432,0.8814291792894859,0.9518251247777348
56,2.8916651617414253,0.9985623264677252,0.9187303619043018,0.8819317604642386,0.9520780221556598
57,2.8937424781054,0.998136721457896,0.920559663564864,0.8812933850841163,0.951486537712506
58,2.89933648440892,0.999633512334574,0.9197636946866924,0.882382615583886,0.9515325230307778
59,2.9005444051974494,0.998347567233586,0.9200035370003512,0.880948667489768,0.9519407933295766
60,2.909426415572714,0.9996955800479964,0.9211059971567176,0.8825514584987417,0.9527300686141892
61,2.9092741977202725,1.0011283827417063,0.9206352630033712,0.8816656932460849,0.953208601495278
62,2.914198314354882,1.0001706196877154,0.9210353172075526,0.8822170646110284,0.953531032996567
63,2.919510629519395,1.0081815320588317,0.9212079664692572,0.8817634036196274,0.9532738868609724
64,2.920709154453377,1.0073138358943032,0.9222222783611478,0.8822146931162257,0.9524829643487456
65,2.9227732348271798,1.0090998232002886,0.922006261054018,0.8828462531088379,0.952335994317669
66,2.929413063660009,1.0087334810084057,0.922012533110038,0.8818849627878538,0.9533931640110068
67,2.930723118830744,1.0086242587796777,0.922573724731699,0.8832285517503449,0.9527148160335877
68,2.9363961418980367,1.009794161968718,0.9229110643038236,0.8833623800866501,0.9535706642411717
69,2.939147152691168,1.0110179579013998,0.922621252485064,0.8835624789932349,0.953654993290279
70,2.9405276443858592,1.0107855307411653,0.9228739714844912,0.8831772099866803,0.953547112841877
71,2.9441205279422524,1.0110650705528408,0.922552932842325,0.8832685812564216,0.9538191210015204
72,2.949483647012084,1.0115796486728996,0.9229967065935336,0.8842571810547881,0.9545572675155496
73,2.9499123709720068,1.0123609723673537,0.9245058789546804,0.8840611538215167,0.9539332502074762
74,2.9553782523118057,1.0128929425012236,0.9243165473596764,0.8832834165748371,0.9541782537350932
75,2.961711735687482,1.013359575106199,0.9244165187315564,0.8847883741936053,0.9546898319877356
76,2.9612044253907333,1.014230664744953,0.9242268128616196,0.8844976755572922,0.954886998077036
77,2.967142637490353,1.0152659135634543,0.9244339689157088,0.884854348651451,0.9545069994788582
78,2.9700818352579543,1.0152407425997336,0.9250759455058248,0.8843874417853835,0.9558002995447656
79,2.9746969004625066,1.01581353513011,0.9252466080563172,0.8855053595785223,0.9553988024150978
80,2.9800796403126446,1.01755203093997,0.9251172165290144,0.8860709253865658,0.9554804179830434
81,2.984044313343887,1.018038965832836,0.9244359216195932,0.8853951532900044,0.955879527437138
82,2.9910992977283213,1.0170878313616916,0.9259138532521706,0.885604208308931,0.9556615369181114
83,2.989747484687117,1.016825045555463,0.9255058871594556,0.8851690965170342,0.9565922084187746
