r,RMSE
176,0.8892172333553315
177,0.8883504819878267
178,0.8883290442905276
179,0.8887337416198351
180,0.889052619270826
181,0.8892356443147329
182,0.8888776149398636
183,0.8893898049844555
184,0.8885987111240027
185,0.8891696541009307
186,0.8887557837103143
187,0.8887871069898896
188,0.8890928088843791
189,0.8893691252270439
190,0.8889930237518678
191,0.8888710691881238
192,0.8888763971253419
193,0.8891363584079414
194,0.8898445222500068
195,0.8890546220811292
196,0.8890909166580542
197,0.8892821896096594
198,0.8895201231915654
199,0.8898251519267862
200,0.8895350026002128
201,0.889413826152303
202,0.8891740164990697
203,0.8898916606747912
204,0.8898380232201321
205,0.8897841097194487
206,0.8895951558002575
207,0.8897873966466774
208,0.8896264815195287
209,0.8898916065678485
210,0.8897773222485933
211,0.8895627983861689
212,0.8895768052109112
213,0.8896103456373182
214,0.889603308119688
215,0.8897417183291614
216,0.8899370021228045
217,0.8899460514993818
218,0.8899729359922169
219,0.8902180417065676
220,0.8896761011142537
221,0.8904644612104102
222,0.8897612311119601
223,0.8900182266611982
224,0.8903532144245042
225,0.8904037302151507
226,0.8902788429971782
227,0.8901644602547795
228,0.8902966590609824
229,0.8904007794173932
230,0.8904749150263565
231,0.8906282563673682
232,0.8907896391103479
233,0.8906677990241219
234,0.8903125294088171
235,0.8912981935738293
236,0.8909557697942799
237,0.8909229843812874
238,0.8905827880086851
239,0.8909384446183221
240,0.8911575811827532
241,0.8909581594964184
242,0.8909310672346328
243,0.8907917811780606
244,0.8907664743257387
245,0.891284558967037
246,0.8909820427713846
247,0.8911551522659437
248,0.8912791491020169
249,0.8911359547110314
250,0.8911048348542933
251,0.8912061860844182
252,0.8907643872564939
253,0.8911492617328195
254,0.8911650503564682
255,0.8911104948271844
256,0.891330658083661
257,0.8912353325930072
258,0.8914143782605636
259,0.8915837660423775
260,0.8914714509984165
261,0.8914345424454786
262,0.8916463721363325
263,0.8915056496864786
264,0.8914851778419735
265,0.8917975291865856
266,0.8915487954025866
267,0.8914087556766345
268,0.8914211555141829
269,0.89184791104362
270,0.8916119638848049
271,0.8917567166951742
272,0.8917548206441294
273,0.8917859300198462
274,0.8914954468987132
275,0.8919529411581877
276,0.8917376821478306
277,0.8918330385618406
278,0.8919641584884411
279,0.8920255446023272
280,0.8920113184466183
281,0.8916815339326039
282,0.8922560211545681
283,0.8920196565146136
284,0.8924123808204165
285,0.8921017659101286
286,0.8922743844813005
287,0.8923137263113304
288,0.8921680613783926
289,0.8922486981447715
290,0.8920897934189966
291,0.8923519234881003
292,0.8923815434150197
293,0.8922836814112357
294,0.8922984310975537
295,0.892515001017514
296,0.8922752577180484
297,0.8923457560906277
298,0.8924970669001241
299,0.8924850225757424
300,0.8924751441693133
